match_id,home_goals,away_goals,status,updated_at
A1,2,0,FINISHED,2026-06-21T14:14:38Z
A2,2,1,FINISHED,2026-06-21T14:14:38Z
B1,1,1,FINISHED,2026-06-21T14:14:38Z
D1,4,1,FINISHED,2026-06-21T14:14:38Z
B2,1,1,FINISHED,2026-06-21T14:14:38Z
C1,1,1,FINISHED,2026-06-21T14:14:38Z
C2,0,1,FINISHED,2026-06-21T14:14:38Z
D2,2,0,FINISHED,2026-06-21T14:14:38Z
E1,7,1,FINISHED,2026-06-21T14:14:38Z
F1,2,2,FINISHED,2026-06-21T14:14:38Z
E2,1,0,FINISHED,2026-06-21T14:14:38Z
F6,5,1,FINISHED,2026-06-21T14:14:38Z
H1,0,0,FINISHED,2026-06-21T14:14:38Z
G1,1,1,FINISHED,2026-06-21T14:14:38Z
H2,1,1,FINISHED,2026-06-21T14:14:38Z
G2,2,2,FINISHED,2026-06-21T14:14:38Z
I1,3,1,FINISHED,2026-06-21T14:14:38Z
I2,1,4,FINISHED,2026-06-21T14:14:38Z
J1,3,0,FINISHED,2026-06-21T14:14:38Z
J2,3,1,FINISHED,2026-06-21T14:14:38Z
K1,1,1,FINISHED,2026-06-21T14:14:38Z
L1,4,2,FINISHED,2026-06-21T14:14:38Z
L2,1,0,FINISHED,2026-06-21T14:14:38Z
K2,1,3,FINISHED,2026-06-21T14:14:38Z
A3,1,1,FINISHED,2026-06-21T14:14:38Z
B3,4,1,FINISHED,2026-06-21T14:14:38Z
B4,6,0,FINISHED,2026-06-21T14:14:38Z
A4,1,0,FINISHED,2026-06-21T14:14:38Z
D3,2,0,FINISHED,2026-06-21T14:14:38Z
C3,0,1,FINISHED,2026-06-21T14:14:38Z
C4,3,0,FINISHED,2026-06-21T14:14:38Z
D4,0,1,FINISHED,2026-06-21T14:14:38Z
F4,5,1,FINISHED,2026-06-21T14:14:38Z
E3,2,1,FINISHED,2026-06-21T14:14:38Z
E4,0,0,FINISHED,2026-06-21T14:14:38Z
H3,NA,NA,TIMED,2026-06-21T14:14:38Z
G3,NA,NA,TIMED,2026-06-21T14:14:38Z
H4,NA,NA,TIMED,2026-06-21T14:14:38Z
G4,NA,NA,TIMED,2026-06-21T14:14:38Z
J3,NA,NA,TIMED,2026-06-21T14:14:38Z
I3,NA,NA,TIMED,2026-06-21T14:14:38Z
I4,NA,NA,TIMED,2026-06-21T14:14:38Z
J4,NA,NA,TIMED,2026-06-21T14:14:38Z
K3,NA,NA,TIMED,2026-06-21T14:14:38Z
L3,NA,NA,TIMED,2026-06-21T14:14:38Z
L4,NA,NA,TIMED,2026-06-21T14:14:38Z
K4,NA,NA,TIMED,2026-06-21T14:14:38Z
B5,NA,NA,TIMED,2026-06-21T14:14:38Z
B6,NA,NA,TIMED,2026-06-21T14:14:38Z
C6,NA,NA,TIMED,2026-06-21T14:14:38Z
C5,NA,NA,TIMED,2026-06-21T14:14:38Z
A5,NA,NA,TIMED,2026-06-21T14:14:38Z
A6,NA,NA,TIMED,2026-06-21T14:14:38Z
E5,NA,NA,TIMED,2026-06-21T14:14:38Z
E6,NA,NA,TIMED,2026-06-21T14:14:38Z
D5,NA,NA,TIMED,2026-06-21T14:14:38Z
D6,NA,NA,TIMED,2026-06-21T14:14:38Z
I5,NA,NA,TIMED,2026-06-21T14:14:38Z
I6,NA,NA,TIMED,2026-06-21T14:14:38Z
H5,NA,NA,TIMED,2026-06-21T14:14:38Z
H6,NA,NA,TIMED,2026-06-21T14:14:38Z
G5,NA,NA,TIMED,2026-06-21T14:14:38Z
G6,NA,NA,TIMED,2026-06-21T14:14:38Z
L5,NA,NA,TIMED,2026-06-21T14:14:38Z
L6,NA,NA,TIMED,2026-06-21T14:14:38Z
K5,NA,NA,TIMED,2026-06-21T14:14:38Z
K6,NA,NA,TIMED,2026-06-21T14:14:38Z
J5,NA,NA,TIMED,2026-06-21T14:14:38Z
J6,NA,NA,TIMED,2026-06-21T14:14:38Z
